gbif_id,species,species_queried,latitude,longitude,coord_uncertainty_m,year,month,day,country_code,country,state_province,locality,basis_of_record,institution_code,dataset_name,region,source,inat_id,occ_id,source_group
4516747278,Sarotherodon melanotheron,Sarotherodon melanotheron,12.176065,99.969178,1953.0,2024.0,1.0,22.0,TH,Thailand,Prachuap Khiri Khan,,HUMAN_OBSERVATION,iNaturalist,iNaturalist research-grade observations,Thailand,GBIF,,0,Citizen science
4519054119,Sarotherodon melanotheron,Sarotherodon melanotheron,13.367991,99.955173,58.0,2024.0,1.0,19.0,TH,Thailand,Samut Songkhram,,HUMAN_OBSERVATION,iNaturalist,iNaturalist research-grade observations,Thailand,GBIF,,1,Citizen science
4535997174,Sarotherodon melanotheron,Sarotherodon melanotheron,13.5168,100.3506,,2024.0,1.0,16.0,TH,Thailand,Samut Sakhon,,HUMAN_OBSERVATION,iNaturalist,iNaturalist research-grade observations,Thailand,GBIF,,2,Citizen science
4909120653,Sarotherodon melanotheron,Sarotherodon melanotheron,12.207494,99.977011,2765.0,2024.0,1.0,13.0,TH,Thailand,Prachuap Khiri Khan,,HUMAN_OBSERVATION,iNaturalist,iNaturalist research-grade observations,Thailand,GBIF,,3,Citizen science
4596858833,Sarotherodon melanotheron,Sarotherodon melanotheron,13.545774,100.605019,8.0,2024.0,2.0,29.0,TH,Thailand,Samut Prakan,,HUMAN_OBSERVATION,iNaturalist,iNaturalist research-grade observations,Thailand,GBIF,,4,Citizen science
4596835915,Sarotherodon melanotheron,Sarotherodon melanotheron,13.450298,100.998355,3850.0,2024.0,3.0,5.0,TH,Thailand,Chon Buri,,HUMAN_OBSERVATION,iNaturalist,iNaturalist research-grade observations,Thailand,GBIF,,5,Citizen science
4851855006,Sarotherodon melanotheron,Sarotherodon melanotheron,10.383637,99.228632,422.0,2024.0,4.0,19.0,TH,Thailand,Chumphon,,HUMAN_OBSERVATION,iNaturalist,iNaturalist research-grade observations,Thailand,GBIF,,6,Citizen science
4909190228,Sarotherodon melanotheron,Sarotherodon melanotheron,7.716171,100.383358,38.0,2024.0,7.0,17.0,TH,Thailand,Songkhla,,HUMAN_OBSERVATION,iNaturalist,iNaturalist research-grade observations,Thailand,GBIF,,7,Citizen science
6129993844,Sarotherodon melanotheron,Sarotherodon melanotheron,12.262717,99.93448,6.0,2024.0,8.0,27.0,TH,Thailand,Prachuap Khiri Khan,,HUMAN_OBSERVATION,iNaturalist,iNaturalist research-grade observations,Thailand,GBIF,,8,Citizen science
4950270230,Sarotherodon melanotheron,Sarotherodon melanotheron,12.707738,101.70375,16.0,2024.0,9.0,22.0,TH,Thailand,Rayong,,HUMAN_OBSERVATION,iNaturalist,iNaturalist research-grade observations,Thailand,GBIF,,9,Citizen science
