algo,feat_set,pa_method,bin_midpoint,mean_pred,mean_obs,n_pts
MXN,M_S,random,0.05,0.0193,0.0052,1743
MXN,M_S,random,0.15,0.1431,0.0,365
MXN,M_S,random,0.25,0.2485,0.0164,244
MXN,M_S,random,0.35,0.353,0.0144,208
MXN,M_S,random,0.45,0.4511,0.0392,306
MXN,M_S,random,0.55,0.5538,0.0186,323
MXN,M_S,random,0.65,0.6506,0.0504,357
MXN,M_S,random,0.75,0.7492,0.0824,364
MXN,M_S,random,0.85,0.8584,0.0381,473
MXN,M_S,random,0.95,0.9724,0.052,1711
MXN,M_S,spatial_constrained,0.05,0.0192,0.0033,2422
MXN,M_S,spatial_constrained,0.15,0.1428,0.0071,420
MXN,M_S,spatial_constrained,0.25,0.2504,0.0252,278
MXN,M_S,spatial_constrained,0.35,0.3489,0.0252,238
MXN,M_S,spatial_constrained,0.45,0.45,0.0246,244
MXN,M_S,spatial_constrained,0.55,0.5495,0.0227,220
MXN,M_S,spatial_constrained,0.65,0.6494,0.0919,185
MXN,M_S,spatial_constrained,0.75,0.7521,0.0842,202
MXN,M_S,spatial_constrained,0.85,0.8529,0.1943,283
MXN,M_S,spatial_constrained,0.95,0.9817,0.0396,1566
MXN,M_S,two_step,0.05,0.0199,0.0043,1632
MXN,M_S,two_step,0.15,0.1464,0.0043,235
MXN,M_S,two_step,0.25,0.2524,0.0111,180
MXN,M_S,two_step,0.35,0.3468,0.0428,187
MXN,M_S,two_step,0.45,0.449,0.0142,212
MXN,M_S,two_step,0.55,0.5486,0.0133,225
MXN,M_S,two_step,0.65,0.649,0.027,259
MXN,M_S,two_step,0.75,0.7548,0.0585,325
MXN,M_S,two_step,0.85,0.8541,0.0598,535
MXN,M_S,two_step,0.95,0.9692,0.0465,2321
MXN,M_S,uncertainty_zone,0.05,0.0156,0.0031,2880
MXN,M_S,uncertainty_zone,0.15,0.1448,0.0169,593
MXN,M_S,uncertainty_zone,0.25,0.2469,0.0106,379
MXN,M_S,uncertainty_zone,0.35,0.3457,0.0423,331
MXN,M_S,uncertainty_zone,0.45,0.4756,0.0315,731
MXN,M_S,uncertainty_zone,0.55,0.5478,0.0429,233
MXN,M_S,uncertainty_zone,0.65,0.6527,0.1235,251
MXN,M_S,uncertainty_zone,0.75,0.7506,0.1172,128
MXN,M_S,uncertainty_zone,0.85,0.8503,0.2077,130
MXN,M_S,uncertainty_zone,0.95,0.9785,0.1051,428
MXN,M_SA,random,0.05,0.0182,0.0029,2058
MXN,M_SA,random,0.15,0.15,0.0026,379
MXN,M_SA,random,0.25,0.2479,0.0084,239
MXN,M_SA,random,0.35,0.3577,0.0113,353
MXN,M_SA,random,0.45,0.4513,0.0087,343
MXN,M_SA,random,0.55,0.5494,0.0197,304
MXN,M_SA,random,0.65,0.6475,0.0761,276
MXN,M_SA,random,0.75,0.7469,0.0483,373
MXN,M_SA,random,0.85,0.8489,0.0747,308
MXN,M_SA,random,0.95,0.9812,0.0717,1479
MXN,M_SA,spatial_constrained,0.05,0.0153,0.0019,2620
MXN,M_SA,spatial_constrained,0.15,0.1458,0.0124,322
MXN,M_SA,spatial_constrained,0.25,0.2466,0.0137,219
MXN,M_SA,spatial_constrained,0.35,0.3457,0.0172,232
MXN,M_SA,spatial_constrained,0.45,0.4513,0.0155,193
MXN,M_SA,spatial_constrained,0.55,0.5485,0.0123,162
MXN,M_SA,spatial_constrained,0.65,0.6528,0.0625,224
MXN,M_SA,spatial_constrained,0.75,0.7532,0.06,433
MXN,M_SA,spatial_constrained,0.85,0.848,0.0865,555
MXN,M_SA,spatial_constrained,0.95,0.9724,0.0708,1116
MXN,M_SA,two_step,0.05,0.0183,0.0007,1349
MXN,M_SA,two_step,0.15,0.1579,0.0032,313
MXN,M_SA,two_step,0.25,0.2507,0.0,466
MXN,M_SA,two_step,0.35,0.3461,0.0044,226
MXN,M_SA,two_step,0.45,0.4586,0.0143,349
MXN,M_SA,two_step,0.55,0.5527,0.0387,155
MXN,M_SA,two_step,0.65,0.6547,0.0318,346
MXN,M_SA,two_step,0.75,0.7592,0.0782,435
MXN,M_SA,two_step,0.85,0.8526,0.0462,520
MXN,M_SA,two_step,0.95,0.9794,0.0529,2024
MXN,M_SA,uncertainty_zone,0.05,0.0146,0.001,2872
MXN,M_SA,uncertainty_zone,0.15,0.1473,0.012,500
MXN,M_SA,uncertainty_zone,0.25,0.2519,0.0281,427
MXN,M_SA,uncertainty_zone,0.35,0.3426,0.024,458
MXN,M_SA,uncertainty_zone,0.45,0.4787,0.0506,632
MXN,M_SA,uncertainty_zone,0.55,0.549,0.0703,185
MXN,M_SA,uncertainty_zone,0.65,0.6509,0.0789,152
MXN,M_SA,uncertainty_zone,0.75,0.7554,0.0947,169
MXN,M_SA,uncertainty_zone,0.85,0.8487,0.1509,232
MXN,M_SA,uncertainty_zone,0.95,0.9855,0.1046,478
MXN,M_SAP,random,0.05,0.0177,0.0004,2356
MXN,M_SAP,random,0.15,0.1491,0.0026,389
MXN,M_SAP,random,0.25,0.2474,0.007,287
MXN,M_SAP,random,0.35,0.3496,0.0082,364
MXN,M_SAP,random,0.45,0.4484,0.0091,329
MXN,M_SAP,random,0.55,0.5505,0.028,322
MXN,M_SAP,random,0.65,0.6512,0.0285,281
MXN,M_SAP,random,0.75,0.7529,0.0605,397
MXN,M_SAP,random,0.85,0.8505,0.109,376
MXN,M_SAP,random,0.95,0.9737,0.0963,1018
MXN,M_SAP,spatial_constrained,0.05,0.0107,0.001,2949
MXN,M_SAP,spatial_constrained,0.15,0.1484,0.0216,232
MXN,M_SAP,spatial_constrained,0.25,0.2482,0.005,200
MXN,M_SAP,spatial_constrained,0.35,0.3518,0.0267,187
MXN,M_SAP,spatial_constrained,0.45,0.4491,0.0235,170
MXN,M_SAP,spatial_constrained,0.55,0.5492,0.04,200
MXN,M_SAP,spatial_constrained,0.65,0.6536,0.0293,205
MXN,M_SAP,spatial_constrained,0.75,0.7556,0.0629,318
MXN,M_SAP,spatial_constrained,0.85,0.8517,0.1146,419
MXN,M_SAP,spatial_constrained,0.95,0.9784,0.0708,1243
MXN,M_SAP,two_step,0.05,0.0165,0.0,1504
MXN,M_SAP,two_step,0.15,0.1513,0.0039,507
MXN,M_SAP,two_step,0.25,0.2459,0.0036,274
MXN,M_SAP,two_step,0.35,0.3523,0.008,251
MXN,M_SAP,two_step,0.45,0.4565,0.0302,199
MXN,M_SAP,two_step,0.55,0.5599,0.0097,309
MXN,M_SAP,two_step,0.65,0.6517,0.0288,278
MXN,M_SAP,two_step,0.75,0.7546,0.0526,323
MXN,M_SAP,two_step,0.85,0.8527,0.0559,429
MXN,M_SAP,two_step,0.95,0.9834,0.0593,2107
MXN,M_SAP,uncertainty_zone,0.05,0.0114,0.0005,2147
MXN,M_SAP,uncertainty_zone,0.15,0.1525,0.0068,293
MXN,M_SAP,uncertainty_zone,0.25,0.2503,0.0156,321
MXN,M_SAP,uncertainty_zone,0.35,0.3501,0.046,326
