algo,feat_set,pa_method,rep,fold,k_effective,auc_roc,pr_auc,tss,tss_thr,thr_source,sensitivity,specificity,brier,cal_slope,cal_int,n_pres,n_bg,n_feat_vif,selected,pa_ratio,n_pa_actual,n_pres_tr,n_pres_dropped,n_eval_bg,inner_threshold,hp_str
RF,M_S,random,1,1,3,0.7396153846153847,0.38509052002651184,0.2257692307489918,0.5538,inner_oof,0.2308,0.995,0.07622947390838226,1.6045,-1.8442,13,400,4,"bio04,bio10,bio15,bio17",1:5,125,25,0,400,0.5538,"{""n_estimators"": 300, ""min_samples_leaf"": 5, ""max_features"": 0.7, ""max_depth"": 5}"
RF,M_S,spatial_constrained,1,1,3,0.6147115384615384,0.3516824080045759,0.28769230766618903,0.2775,inner_oof,0.3077,0.98,0.03953348915318751,-0.014,-3.463,13,400,4,"bio04,bio10,bio15,bio17",1:5,125,25,0,400,0.2775,"{""n_estimators"": 200, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": 20}"
RF,M_S,two_step,1,1,3,0.859423076923077,0.3305479633840302,0.3026923076661516,0.89,inner_oof,0.3077,0.995,0.20011162227602902,1.0669,-3.7288,13,400,4,"bio04,bio10,bio15,bio17",1:1,25,25,0,400,0.89,"{""n_estimators"": 100, ""min_samples_leaf"": 1, ""max_features"": 0.7, ""max_depth"": 20}"
RF,M_S,uncertainty_zone,1,1,3,0.76625,0.41349041786285406,0.3026923076661516,0.2095,inner_oof,0.3077,0.995,0.02362798234638668,0.2273,-1.8186,13,400,4,"bio04,bio10,bio15,bio17",1:10,250,25,0,400,0.2095,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""max_features"": 0.5, ""max_depth"": 10}"
RF,M_SA,random,1,1,3,0.7388461538461539,0.14865797767054587,0.2573076922530255,0.4063,inner_oof,0.6923,0.565,0.17931041231833164,0.6359,-3.1944,13,400,6,"bio04,bio10,bio15,bio17,A1_dist_waterway,A2_waterway_order",1:10,250,25,0,400,0.4063,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""max_features"": 0.5, ""max_depth"": 10}"
RF,M_SA,spatial_constrained,1,1,3,0.8146153846153845,0.29745743269420244,0.38538461533535306,0.2252,inner_oof,0.6154,0.77,0.03976423152742623,0.9876,-1.5259,13,400,6,"bio04,bio10,bio15,bio17,A1_dist_waterway,A2_waterway_order",1:10,250,25,0,400,0.2252,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""max_features"": 0.5, ""max_depth"": 10}"
RF,M_SA,two_step,1,1,3,0.7259615384615385,0.20193387900372706,0.39807692300472963,0.3223,inner_oof,0.9231,0.475,0.24658903818180486,0.7971,-3.6068,13,400,6,"bio04,bio10,bio15,bio17,A1_dist_waterway,A2_waterway_order",1:10,250,25,0,400,0.3223,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""max_features"": 0.5, ""max_depth"": 10}"
RF,M_SA,uncertainty_zone,1,1,3,0.8390384615384616,0.4690339722544046,0.3026923076661516,0.2342,inner_oof,0.3077,0.995,0.02327861486179581,0.5311,-1.0293,13,400,6,"bio04,bio10,bio15,bio17,A1_dist_waterway,A2_waterway_order",1:10,250,25,0,400,0.2342,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""max_features"": 0.5, ""max_depth"": 10}"
RF,M_SP,random,1,1,3,0.6735576923076922,0.05348736468867557,0.15999999992267688,0.2204,inner_oof,1.0,0.16,0.2869185278260988,0.6356,-3.5484,13,400,8,"bio04,bio10,bio15,bio17,P1_pop_density,P2_dist_road,P3_road_density,P4_dist_urban",1:10,250,25,0,400,0.2204,"{""n_estimators"": 300, ""min_samples_leaf"": 1, ""max_features"": 0.5, ""max_depth"": 5}"
RF,M_SP,spatial_constrained,1,1,3,0.8486538461538462,0.272315822828265,0.571153846086945,0.3364,inner_oof,0.8462,0.725,0.0899525344904904,1.651,-2.3325,13,400,8,"bio04,bio10,bio15,bio17,P1_pop_density,P2_dist_road,P3_road_density,P4_dist_urban",1:5,125,25,0,400,0.3364,"{""n_estimators"": 200, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": 20}"
