feature,label,x,ale_mean,ale_ci_lo,ale_ci_hi,n_models
bio07,Annual temperature range,9.458798885345459,0.09763983366173137,-0.006500669378096824,0.19109809868811345,10
bio07,Annual temperature range,10.75033254623413,0.09224447662709935,-0.013154444131815327,0.19141264847194472,10
bio07,Annual temperature range,11.319933700561524,0.10848484013901087,0.030888818111655315,0.1934604484719447,10
bio07,Annual temperature range,12.01540012359619,0.1046941732125984,0.02198779786602806,0.18964714847194472,10
bio07,Annual temperature range,13.279773807525634,0.009743526303111916,-0.0917958473809524,0.11682234136947509,10
bio07,Annual temperature range,16.354172992706303,-0.08247256588614629,-0.15493694586309312,-0.015195238576958203,10
bio07,Annual temperature range,19.39239988327027,-0.08256857101435142,-0.15507195740155466,-0.015195238576958203,10
bio07,Annual temperature range,20.905599689483644,-0.08258857101435142,-0.15522695740155465,-0.015195238576958203,10
bio07,Annual temperature range,22.183798408508302,-0.08258857101435142,-0.15522695740155465,-0.015195238576958203,10
bio07,Annual temperature range,23.982198524475095,-0.08258857101435142,-0.15522695740155465,-0.015195238576958203,10
elevation,Elevation,-4.5,0.07382472425181326,0.02695917322109454,0.11527881144260702,6
elevation,Elevation,7.0,0.053046926516509996,0.011505355064060658,0.06980778284937995,6
elevation,Elevation,13.0,0.025764054047774865,-0.012102465115289045,0.061164371996045686,6
elevation,Elevation,24.5,0.011873940213331389,-0.01962377179111916,0.0597777736164512,6
elevation,Elevation,41.0,0.0029480045171812485,-0.023395379449027136,0.051403481940443835,6
elevation,Elevation,64.5,-0.02975726552193324,-0.05583351466786182,-0.006170403857295113,6
elevation,Elevation,103.5,-0.033526680424931475,-0.062239700845110504,-0.006511778857295114,6
elevation,Elevation,182.0,-0.03355680090685918,-0.062239700845110504,-0.006534369218740897,6
elevation,Elevation,321.04999999999995,-0.03355680090685918,-0.062239700845110504,-0.006534369218740897,6
elevation,Elevation,919.05,-0.03355680090685918,-0.062239700845110504,-0.006534369218740897,6
bio10,"Mean temperature, warmest quarter",24.606466579437257,-0.013618881172886482,-0.06288328413348182,0.018094249902727656,12
bio10,"Mean temperature, warmest quarter",27.592771816253663,-0.013618881172886482,-0.06288328413348182,0.018094249902727656,12
bio10,"Mean temperature, warmest quarter",27.913305282592773,-0.013608841012243912,-0.06288328413348182,0.018094249902727656,12
bio10,"Mean temperature, warmest quarter",28.10675754547119,-0.01317175601888402,-0.062020761999794345,0.018094249902727656,12
bio10,"Mean temperature, warmest quarter",28.27250757217407,-0.006617618248339067,-0.039198978008466466,0.018094249902727656,12
bio10,"Mean temperature, warmest quarter",28.467549800872803,-0.004639233394477592,-0.026422527983790713,0.017780946574976846,12
bio10,"Mean temperature, warmest quarter",28.73289966583252,0.0245953360672021,-0.0011944638500450448,0.0673494722714725,12
bio10,"Mean temperature, warmest quarter",29.091766357421875,0.039787462138951575,0.0039076270669575995,0.1122401925037414,12
bio10,"Mean temperature, warmest quarter",29.589500141143798,-0.00021655959763147714,-0.09973933695595656,0.06448833855859602,12
bio10,"Mean temperature, warmest quarter",30.240167331695556,0.0012672401581682782,-0.08670894696816657,0.06444678300304048,12
bio04,Temperature seasonality,53.797957229614255,-0.012289770529849657,-0.06906377790245063,0.04727256254245754,9
bio04,Temperature seasonality,74.00909271240235,-0.012285819912565705,-0.06906377790245063,0.04727256254245754,9
bio04,Temperature seasonality,82.26510658264161,-0.015365093544810625,-0.07336391745469732,0.04727256254245754,9
bio04,Temperature seasonality,89.9412525177002,-0.002339671679917797,-0.0619758839260856,0.048820753018648015,9
bio04,Temperature seasonality,107.36506271362305,0.038438602602661326,-0.055479803554181154,0.14174164958590058,9
bio04,Temperature seasonality,138.29014434814454,0.0012036934700393501,-0.060052727683982676,0.055382062670457796,9
bio04,Temperature seasonality,170.43435897827152,0.0011792887081345876,-0.060208941969696964,0.055382062670457796,9
bio04,Temperature seasonality,206.29558639526368,0.0010900823589282363,-0.06085122768398269,0.055382062670457796,9
bio04,Temperature seasonality,245.8892791748047,0.0002095823589282363,-0.06719082768398268,0.055382062670457796,9
bio04,Temperature seasonality,279.6091537475586,0.00015910616845204602,-0.06728168482683983,0.055382062670457796,9
P1_pop_density,Population density,6.330860268984027,-0.021366313237937074,-0.04573956408780114,0.010919995555555556,15
P1_pop_density,Population density,23.1410196919239,-0.013445259767433144,-0.041531313014036036,0.02286144000000001,15
P1_pop_density,Population density,45.83431121594201,-0.017125047075332214,-0.05339895785530588,0.0004465830533714905,15
P1_pop_density,Population density,74.59205004957963,-0.009218640305672291,-0.06055272692159691,0.04599189323418954,15
P1_pop_density,Population density,128.6201009910808,0.0020234125788877026,-0.05094963043320605,0.0936918874306793,15
P1_pop_density,Population density,1844.1998956900416,0.1445971007592353,0.010495855238095243,0.38442895941234423,15
A2_waterway_order,Waterway order,1.0,-0.00808056714789305,-0.013660245158925069,-0.0001712136049603976,15
A2_waterway_order,Waterway order,2.5,0.012676390254829905,-0.00020228348008384165,0.024352360675105482,15
A2_waterway_order,Waterway order,3.5,0.014608316964880217,0.0004791202801439063,0.025177498136063316,15
