feature,label,group,selection_frequency,permutation_auc_decrease_mean,permutation_ci_lo,permutation_ci_hi,mean_abs_shap,shap_ci_lo,shap_ci_hi,shap_direction_rho
bio07,Annual temperature range,S: environmental suitability,0.6666666666666666,0.03155034674648226,0.00038528400997151543,0.06893720010031316,0.0834979772387436,0.03949576543304731,0.13433799086160092,-0.1054360892883427
elevation,Elevation,S: environmental suitability,0.4,0.028328151709401714,0.006640123753561259,0.056820641470797704,0.02063184238334467,0.00633432025440367,0.03616635846607109,-0.7276998170124046
bio10,"Mean temperature, warmest quarter",S: environmental suitability,0.8,0.027780103330723584,0.01047171106000309,0.049712485809356055,0.02068008357039965,0.01186101964562001,0.03097911772673256,0.4330641746867016
bio04,Temperature seasonality,S: environmental suitability,0.6,0.02400539529914532,0.003935910790598325,0.050064090099715124,0.03177880144461431,0.01416549837908907,0.051475317442726876,0.21415214108171052
P1_pop_density,Population density,P: human-pressure proxy,1.0,0.023101218709901946,0.008746083066239353,0.03774126310663646,0.035493324456472,0.02543657335544236,0.04604033159595753,0.30120535702675527
A2_waterway_order,Waterway order,A: waterway accessibility,1.0,0.013598344153019745,0.001803421032600457,0.028114923708298,0.020944500501178347,0.01456794235264813,0.02791247957359648,0.4874886834448126
bio15,Precipitation seasonality,S: environmental suitability,1.0,0.010301868162936887,-0.004603936642988383,0.029203067415073634,0.02664384373570192,0.01578018004342128,0.04000492397109277,0.027226487693987708
P4_dist_urban,Distance to urban area,P: human-pressure proxy,0.6,0.007898344017094041,-0.002423941417378908,0.018498497596153896,0.019037234990121214,0.008753082852078096,0.030807113358419718,-0.3239244436322877
bio16,"Precipitation, wettest quarter",S: environmental suitability,0.13333333333333333,0.006740598290598299,-0.0006730769230769176,0.020894871794871817,0.0021915600664650955,0.0,0.005415616264836921,-0.019705644472140932
bio12,Annual precipitation,S: environmental suitability,0.6666666666666666,0.005661597045518806,-0.01768632701210826,0.0259175847089015,0.02502357290202138,0.014416120200882185,0.03624386616685102,-0.35495136853842824
bio11,"Mean temperature, coldest quarter",S: environmental suitability,0.2,0.0022194444444444497,-0.00021157407407406816,0.00569288773148149,0.010140081605416002,0.0,0.025535974115374175,0.4311762214345585
bio17,"Precipitation, driest quarter",S: environmental suitability,0.8666666666666667,0.0021776220069159215,-0.014937461349524802,0.017947395867314777,0.044921646900752406,0.025190955667519173,0.06617209966871175,0.08251314659787573
P3_road_density,Road density,P: human-pressure proxy,1.0,0.0013768579685087578,0.0002236391152052114,0.00276031594571674,0.003844894974963466,0.0024172027392216078,0.005622862996771972,0.5011515540735189
bio01,Annual mean temperature,S: environmental suitability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
P2_dist_road,Distance to road,P: human-pressure proxy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A1_dist_waterway,Distance to waterway,A: waterway accessibility,0.7333333333333333,-0.0030719723907700826,-0.008950022172881194,0.0004936324922250778,0.0035245333601341164,0.0015031173162436855,0.005932368268870185,-0.1692239419625576
