algo,feat_set,metric,mean,sd,n_folds
RF,M_S,auc_roc,0.7809,0.1238,60
RF,M_S,pr_auc,0.192,0.2099,60
RF,M_S,tss,0.2312,0.2892,60
RF,M_S,brier,0.232,0.183,60
RF,M_SA,auc_roc,0.7898,0.1583,60
RF,M_SA,pr_auc,0.2254,0.1984,60
RF,M_SA,tss,0.2574,0.3108,60
RF,M_SA,brier,0.1993,0.1509,60
RF,M_SP,auc_roc,0.847,0.0832,60
RF,M_SP,pr_auc,0.2158,0.1864,60
RF,M_SP,tss,0.3341,0.2563,60
RF,M_SP,brier,0.1936,0.162,60
RF,M_SAP,auc_roc,0.8506,0.07,60
RF,M_SAP,pr_auc,0.2202,0.1724,60
RF,M_SAP,tss,0.3587,0.2862,60
RF,M_SAP,brier,0.1843,0.139,60
XGB,M_S,auc_roc,0.7428,0.1886,60
XGB,M_S,pr_auc,0.2221,0.2377,60
XGB,M_S,tss,0.1884,0.2571,60
XGB,M_S,brier,0.258,0.2189,60
XGB,M_SA,auc_roc,0.7834,0.1614,60
XGB,M_SA,pr_auc,0.2429,0.2152,60
XGB,M_SA,tss,0.2526,0.2951,60
XGB,M_SA,brier,0.2573,0.1804,60
XGB,M_SP,auc_roc,0.8715,0.0786,60
XGB,M_SP,pr_auc,0.2746,0.256,60
XGB,M_SP,tss,0.4141,0.2208,60
XGB,M_SP,brier,0.2479,0.1792,60
XGB,M_SAP,auc_roc,0.8328,0.1302,60
XGB,M_SAP,pr_auc,0.2368,0.2082,60
XGB,M_SAP,tss,0.4057,0.2754,60
XGB,M_SAP,brier,0.2347,0.1492,60
MXN,M_S,auc_roc,0.6752,0.2929,60
MXN,M_S,pr_auc,0.2101,0.2848,60
MXN,M_S,tss,0.2783,0.3713,60
MXN,M_S,brier,0.3213,0.3038,60
MXN,M_SA,auc_roc,0.7818,0.2233,60
MXN,M_SA,pr_auc,0.2631,0.2803,60
MXN,M_SA,tss,0.3822,0.3298,60
MXN,M_SA,brier,0.2733,0.2512,60
MXN,M_SP,auc_roc,0.8657,0.1319,60
MXN,M_SP,pr_auc,0.2971,0.2785,60
MXN,M_SP,tss,0.4556,0.2887,60
MXN,M_SP,brier,0.2886,0.2174,60
MXN,M_SAP,auc_roc,0.8095,0.1805,60
MXN,M_SAP,pr_auc,0.2646,0.2756,60
MXN,M_SAP,tss,0.4607,0.2961,60
MXN,M_SAP,brier,0.3136,0.2192,60
