algo,feat_set,pa_method,auc_roc,pr_auc,brier,cal_slope,cal_int,boyce_csi,n_pres,n_bg,tss,tss_thr,sensitivity,specificity,bal_acc,thr_source,auc_roc_ci_lo,auc_roc_ci_hi,pr_auc_ci_lo,pr_auc_ci_hi,brier_ci_lo,brier_ci_hi
MXN,M_S,uncertainty_zone,0.8166,0.0848,0.1682,0.1081,-3.3334,0.9233,190,5993,0.4399,0.491,0.8474,0.5925,0.7199,not_computed,0.6891,0.9027,0.0453,0.3674,0.0863,0.2871
MXN,M_SA,uncertainty_zone,0.8182,0.0806,0.1782,0.1053,-3.3515,0.9444,190,5993,0.4859,0.4751,0.9,0.5859,0.7429,not_computed,0.6948,0.9134,0.0457,0.4079,0.0937,0.2965
MXN,M_SAP,random,0.821,0.0786,0.2836,0.1319,-3.5543,0.9805,190,5993,0.5637,0.6526,0.8684,0.6953,0.7819,inner_oof,0.7059,0.9197,0.0478,0.4142,0.1795,0.4016
MXN,M_SP,uncertainty_zone,0.8507,0.1036,0.1642,0.1485,-3.2305,0.8722,190,5993,0.4894,0.6157,0.8053,0.6841,0.7447,not_computed,0.7543,0.9246,0.0567,0.5042,0.086,0.2711
RF,M_S,two_step,0.7923,0.1228,0.2957,0.3058,-3.5692,0.812,190,5993,0.4579,0.6402,0.7895,0.6684,0.729,inner_oof,0.691,0.8788,0.0763,0.2917,0.1956,0.4007
RF,M_SA,random,0.8086,0.1891,0.2149,0.8798,-3.6537,0.9609,190,5993,0.4303,0.5444,0.7368,0.6935,0.7152,inner_oof,0.7194,0.8921,0.1181,0.3553,0.1309,0.3029
RF,M_SAP,uncertainty_zone,0.852,0.2185,0.0902,1.4678,-2.4855,0.9842,190,5993,0.541,0.3939,0.7,0.841,0.7705,inner_oof,0.7803,0.9091,0.1227,0.4598,0.0651,0.1205
RF,M_SP,two_step,0.8403,0.1706,0.2543,0.7472,-3.9542,0.9639,190,5993,0.5105,0.6157,0.7895,0.721,0.7552,inner_oof,0.7613,0.907,0.0954,0.3455,0.1814,0.3318
XGB,M_S,random,0.8162,0.1837,0.2032,0.5829,-3.5089,0.6226,190,5993,0.5335,0.5837,0.7789,0.7545,0.7667,inner_oof,0.7247,0.894,0.113,0.3303,0.1121,0.3093
XGB,M_SA,random,0.841,0.2269,0.2493,0.695,-3.9188,0.812,190,5993,0.5241,0.6734,0.7737,0.7504,0.762,inner_oof,0.7584,0.9097,0.1381,0.3976,0.1574,0.3497
XGB,M_SAP,random,0.8485,0.2135,0.1903,0.5661,-3.5585,0.9068,190,5993,0.5391,0.5512,0.7632,0.7759,0.7695,inner_oof,0.7883,0.8978,0.1312,0.3445,0.1402,0.2452
XGB,M_SP,uncertainty_zone,0.8485,0.2487,0.1508,0.6078,-3.119,0.7459,190,5993,0.5279,0.5385,0.7526,0.7752,0.7639,not_computed,0.7572,0.9182,0.16,0.3674,0.0804,0.2374
