algo,feat_set,pa_method,auc_roc,pr_auc,brier,cal_slope,cal_int,boyce_csi,n_pres,n_bg,tss,tss_thr,sensitivity,specificity,bal_acc,thr_source,auc_roc_ci_lo,auc_roc_ci_hi,pr_auc_ci_lo,pr_auc_ci_hi,brier_ci_lo,brier_ci_hi
MXN,M_S,random,0.6781,0.0449,0.4076,0.0606,-3.5326,0.7895,190,5993,0.3257,0.645,0.7737,0.552,0.6628,inner_oof,0.5294,0.816,0.0303,0.2885,0.2507,0.567
MXN,M_S,spatial_constrained,0.6913,0.0453,0.3415,0.0665,-3.488,0.8737,190,5993,0.4399,0.491,0.8474,0.5925,0.7199,inner_oof,0.4999,0.8458,0.0288,0.1262,0.1797,0.5483
MXN,M_S,two_step,0.6603,0.0424,0.4797,0.0738,-3.5786,0.785,190,5993,0.2682,0.7464,0.7632,0.5051,0.6341,inner_oof,0.5186,0.7927,0.0294,0.2324,0.3346,0.6347
MXN,M_S,uncertainty_zone,0.8166,0.0848,0.1682,0.1081,-3.3334,0.9233,190,5993,,,,,,not_computed,0.6891,0.9027,0.0453,0.3674,0.0863,0.2871
MXN,M_SA,random,0.7411,0.0545,0.3481,0.0846,-3.543,0.9278,190,5993,0.4156,0.7397,0.7368,0.6788,0.7078,inner_oof,0.6108,0.8673,0.0363,0.2523,0.2155,0.4797
MXN,M_SA,spatial_constrained,0.7625,0.0588,0.3119,0.1046,-3.4652,0.8015,190,5993,0.4859,0.4751,0.9,0.5859,0.7429,inner_oof,0.6361,0.8649,0.0386,0.1954,0.2015,0.4327
MXN,M_SA,two_step,0.7113,0.0496,0.4477,0.09,-3.6386,0.9053,190,5993,0.3699,0.7477,0.8158,0.5541,0.685,inner_oof,0.5823,0.8339,0.0335,0.2234,0.3095,0.582
MXN,M_SA,uncertainty_zone,0.8182,0.0806,0.1782,0.1053,-3.3515,0.9444,190,5993,,,,,,not_computed,0.6948,0.9134,0.0457,0.4079,0.0937,0.2965
MXN,M_SAP,random,0.821,0.0786,0.2836,0.1319,-3.5543,0.9805,190,5993,0.5637,0.6526,0.8684,0.6953,0.7819,inner_oof,0.7059,0.9197,0.0478,0.4142,0.1795,0.4016
MXN,M_SAP,spatial_constrained,0.7809,0.0638,0.2976,0.1104,-3.4699,0.8692,190,5993,0.5108,0.5499,0.8737,0.6371,0.7554,inner_oof,0.643,0.8953,0.0398,0.3058,0.1709,0.4458
MXN,M_SAP,two_step,0.7173,0.0808,0.4381,0.0967,-3.6725,0.9414,190,5993,0.4257,0.7632,0.8474,0.5783,0.7129,inner_oof,0.5822,0.8378,0.0478,0.1747,0.3075,0.5792
MXN,M_SAP,uncertainty_zone,0.7363,0.0532,0.2905,0.0571,-3.4742,0.8887,190,5993,,,,,,not_computed,0.6005,0.8731,0.0353,0.1444,0.1646,0.421
MXN,M_SP,random,0.8125,0.0793,0.274,0.1352,-3.5292,0.8812,190,5993,0.4894,0.6157,0.8053,0.6841,0.7447,inner_oof,0.7007,0.9069,0.047,0.389,0.1645,0.3899
MXN,M_SP,spatial_constrained,0.7783,0.0631,0.3051,0.1096,-3.4899,0.8271,190,5993,0.5401,0.6171,0.8895,0.6506,0.77,inner_oof,0.6384,0.8912,0.0393,0.294,0.1741,0.4482
MXN,M_SP,two_step,0.74,0.0628,0.4437,0.1115,-3.7196,0.8211,190,5993,0.3606,0.7828,0.7895,0.5712,0.6803,inner_oof,0.618,0.8513,0.04,0.2757,0.3126,0.5829
MXN,M_SP,uncertainty_zone,0.8507,0.1036,0.1642,0.1485,-3.2305,0.8722,190,5993,,,,,,not_computed,0.7543,0.9246,0.0567,0.5042,0.086,0.2711
RF,M_S,random,0.764,0.0964,0.2218,0.5279,-3.4361,0.9203,190,5993,0.4074,0.4952,0.7526,0.6548,0.7037,inner_oof,0.6466,0.8683,0.0552,0.3201,0.1216,0.3259
RF,M_S,spatial_constrained,0.7317,0.0643,0.2346,0.1529,-3.4117,0.8752,190,5993,0.3773,0.5753,0.6737,0.7037,0.6887,inner_oof,0.6084,0.8519,0.0394,0.2776,0.133,0.3444
RF,M_S,two_step,0.7923,0.1228,0.2957,0.3058,-3.5692,0.812,190,5993,0.4579,0.6402,0.7895,0.6684,0.729,inner_oof,0.691,0.8788,0.0763,0.2917,0.1956,0.4007
RF,M_S,uncertainty_zone,0.7404,0.0675,0.1666,0.2561,-3.2423,0.8917,190,5993,0.3938,0.4683,0.6,0.7938,0.6969,inner_oof,0.6047,0.8676,0.038,0.3738,0.0702,0.277
RF,M_SA,random,0.8086,0.1891,0.2149,0.8798,-3.6537,0.9609,190,5993,0.4303,0.5444,0.7368,0.6935,0.7152,inner_oof,0.7194,0.8921,0.1181,0.3553,0.1309,0.3029
RF,M_SA,spatial_constrained,0.7563,0.0753,0.2173,0.5506,-3.3743,0.9353,190,5993,0.4031,0.4787,0.7842,0.6189,0.7015,inner_oof,0.6384,0.866,0.0456,0.2514,0.1294,0.3103
RF,M_SA,two_step,0.8085,0.1528,0.2987,0.3382,-3.6783,0.9459,190,5993,0.4313,0.6641,0.7474,0.684,0.7157,inner_oof,0.7153,0.8862,0.1017,0.2967,0.204,0.4036
