rep,fold,group,n_selected_features,baseline_auc_reconstructed,reported_auc,grouped_permutation_auc_decrease
1,1,S_environment,4,0.904423076923077,0.904423076923077,0.1288903846153847
1,1,A_waterway_context,2,0.904423076923077,0.904423076923077,0.006694230769230845
1,1,P_human_activity,3,0.904423076923077,0.904423076923077,0.1369028846153847
1,2,S_environment,6,0.8997115384615385,0.8997115384615385,0.18165192307692307
1,2,A_waterway_context,1,0.8997115384615385,0.8997115384615385,0.00392019230769235
1,2,P_human_activity,3,0.8997115384615385,0.8997115384615385,0.04871346153846158
1,3,S_environment,7,0.9835416666666666,0.9835416666666666,0.07817708333333333
1,3,A_waterway_context,1,0.9835416666666666,0.9835416666666666,-0.0007791666666666741
1,3,P_human_activity,3,0.9835416666666666,0.9835416666666666,0.024387499999999996
2,1,S_environment,4,0.9130769230769231,0.9130769230769232,0.2469038461538462
2,1,A_waterway_context,1,0.9130769230769231,0.9130769230769232,0.04522500000000004
2,1,P_human_activity,3,0.9130769230769231,0.9130769230769232,0.030251923076923107
2,2,S_environment,6,0.9779807692307693,0.9779807692307692,0.4284836538461539
2,2,A_waterway_context,2,0.9779807692307693,0.9779807692307692,0.000368269230769257
2,2,P_human_activity,2,0.9779807692307693,0.9779807692307692,0.0035317307692307896
2,3,S_environment,5,0.8616666666666667,0.8616666666666667,0.49046770833333325
2,3,A_waterway_context,2,0.8616666666666667,0.8616666666666667,0.002610416666666674
2,3,P_human_activity,3,0.8616666666666667,0.8616666666666667,-0.040919791666666615
3,1,S_environment,4,0.8316346153846155,0.8316346153846155,0.13980961538461548
3,1,A_waterway_context,1,0.8316346153846155,0.8316346153846155,0.01881634615384625
3,1,P_human_activity,3,0.8316346153846155,0.8316346153846155,0.1294153846153847
3,2,S_environment,6,0.9370192307692308,0.9370192307692308,0.3010836538461539
3,2,A_waterway_context,2,0.9370192307692308,0.9370192307692308,0.004692307692307686
3,2,P_human_activity,2,0.9370192307692308,0.9370192307692308,0.04668365384615385
3,3,S_environment,5,0.8212499999999999,0.8212499999999999,0.41966562499999993
3,3,A_waterway_context,2,0.8212499999999999,0.8212499999999999,-0.05987916666666675
3,3,P_human_activity,2,0.8212499999999999,0.8212499999999999,0.03446666666666661
4,1,S_environment,4,0.8175,0.8175,0.03980096153846152
4,1,A_waterway_context,2,0.8175,0.8175,0.02959423076923076
4,1,P_human_activity,3,0.8175,0.8175,0.1626326923076923
4,2,S_environment,5,0.6996153846153846,0.6996153846153846,-0.06455384615384616
4,2,A_waterway_context,2,0.6996153846153846,0.6996153846153846,0.09989903846153851
4,2,P_human_activity,3,0.6996153846153846,0.6996153846153846,-0.0009903846153845885
4,3,S_environment,7,0.9975,0.9975,0.1559833333333334
4,3,A_waterway_context,2,0.9975,0.9975,4.895833333337429e-05
4,3,P_human_activity,2,0.9975,0.9975,0.016781250000000053
5,1,S_environment,5,0.8439423076923078,0.8439423076923078,0.02402307692307704
5,1,A_waterway_context,2,0.8439423076923078,0.8439423076923078,0.033574038461538586
5,1,P_human_activity,3,0.8439423076923078,0.8439423076923078,0.13768557692307704
5,2,S_environment,5,0.8405754550792719,0.8405754550792719,0.24305147778430225
5,2,A_waterway_context,2,0.8405754550792719,0.8405754550792719,0.026794871794871784
5,2,P_human_activity,2,0.8405754550792719,0.8405754550792719,0.03525641025641025
5,3,S_environment,7,0.994375,0.994375,0.21443750000000006
5,3,A_waterway_context,2,0.994375,0.994375,0.003912500000000017
5,3,P_human_activity,2,0.994375,0.994375,0.0023031250000000057
