province,aquatic_cells,mean_relative_suitability,median_relative_suitability,p90_relative_suitability,fraction_cells_ge_0_5
SamutPrakan,45,0.7954662972026401,0.8200627565383911,0.868799877166748,1.0
BangkokMetropolis,77,0.7557283523794892,0.7904127836227417,0.8610994815826416,0.974025974025974
SamutSakhon,37,0.710229353324787,0.6955974698066711,0.815034031867981,1.0
SamutSongkhram,18,0.6618450184663137,0.655837893486023,0.7931069672107697,1.0
Nonthaburi,30,0.5470764468113581,0.5885684788227081,0.6982486724853516,0.6666666666666666
ChonBuri,195,0.4759099256533843,0.4823434054851532,0.6949049115180969,0.4717948717948718
PathumThani,75,0.4740255339940389,0.47056296467781067,0.6087115168571472,0.44
Rayong,150,0.43781571318705875,0.4129021018743515,0.6408361494541168,0.32
Chachoengsao,206,0.37205100117377865,0.3407275825738907,0.6040416061878204,0.1796116504854369
NakhonPathom,104,0.2760629884612102,0.25025347620248795,0.4833661884069443,0.057692307692307696
NakhonNayok,93,0.26776270287972626,0.30574044585227966,0.3560897171497345,0.0
Phetchaburi,200,0.26663510374724864,0.1700187772512436,0.5974950313568115,0.19
Chanthaburi,177,0.26164132794417905,0.25318196415901184,0.35284929871559145,0.0
PrachinBuri,157,0.2605549623821951,0.26767414808273315,0.35925822257995604,0.0
PrachuapKhiriKhan,247,0.23909094615986473,0.1767493039369583,0.5014568328857422,0.10526315789473684
UbonRatchathani,499,0.23461367270511713,0.23147611320018768,0.2774624526500702,0.0
PhraNakhonSiAyutthaya,123,0.22210061998386693,0.20906540751457214,0.31155688166618345,0.0
SiSaKet,286,0.2189355107558357,0.2187563180923462,0.2585359662771225,0.0
Saraburi,139,0.20898625694161696,0.19353795051574707,0.31702961325645446,0.0
Yasothon,146,0.20483184616043143,0.20251478999853134,0.2347232773900032,0.0
AmnatCharoen,117,0.20478929757562458,0.20582978427410126,0.22814748883247377,0.0
Trat,125,0.19710215723514557,0.1808973103761673,0.27826057076454164,0.0
Ratchaburi,163,0.1960415451164626,0.13786987960338593,0.4448246300220491,0.024539877300613498
Mukdahan,130,0.19408422295863811,0.19124601036310196,0.2210002049803734,0.0
SaKaeo,186,0.1928688918230354,0.19330836832523346,0.2818254828453064,0.0
Kalasin,265,0.1900748115665508,0.18635112047195435,0.2287688285112381,0.0
RoiEt,344,0.1874553030140178,0.1867314651608467,0.22686830759048462,0.0
BuengKan,121,0.18396538064992132,0.1805630624294281,0.20069092512130737,0.0
NongKhai,128,0.18260317901149392,0.1778126135468483,0.2180912122130394,0.0
NakhonPhanom,241,0.1752544817093497,0.17167410254478455,0.20264385640621185,0.0
UdonThani,438,0.17097910534437388,0.16571304202079773,0.2118169844150543,0.0
Surin,287,0.16959514224882324,0.16520632803440094,0.2031999617815018,0.0
ChiangRai,463,0.16301204587612503,0.16164140403270721,0.19538163840770723,0.0
SakonNakhon,363,0.16298461945588924,0.1613900363445282,0.18290703296661376,0.0
Phitsanulok,356,0.16144412151129728,0.15806739777326584,0.20590893179178238,0.0
BuriRam,384,0.16011092383026457,0.16180159151554108,0.20182191282510759,0.0
MahaSarakham,248,0.15670120920385083,0.14984457194805145,0.1976084977388382,0.0
Uttaradit,262,0.15513253982626754,0.14446258544921875,0.20834075063467028,0.0
Phetchabun,339,0.15290488663148738,0.14972113072872162,0.19899748563766478,0.0
KhonKaen,484,0.14842801804323336,0.14860671758651733,0.19439916610717772,0.0
Kanchanaburi,504,0.14254190913209366,0.149012953042984,0.1920161083340645,0.0
Nan,314,0.14203448012281375,0.14398270845413208,0.16472547501325607,0.0
UthaiThani,175,0.14149390337722642,0.14356295764446259,0.17056182622909546,0.0
NakhonRatchasima,650,0.1411135058907362,0.13419360667467117,0.18357838094234466,0.0
KamphaengPhet,368,0.13552004957328673,0.13321131467819214,0.16363575756549836,0.0
Tak,459,0.13291430289903758,0.1381489485502243,0.17095502018928527,0.0
Phayao,195,0.13250097158627633,0.1347348988056183,0.16352202594280243,0.0
Chumphon,178,0.13164365417167043,0.11568674445152283,0.19444260597229004,0.0
MaeHongSon,341,0.12882681704423993,0.1270464062690735,0.16099302470684052,0.0
Loei,286,0.12786668124836642,0.1250220686197281,0.15410631895065308,0.0
Phrae,204,0.1277652492052784,0.11444902792572975,0.19660972654819522,0.0
Phichit,180,0.12525881143907705,0.1224493756890297,0.1604519858956337,0.0
SingBuri,39,0.1249816446350171,0.12152506411075592,0.15121126472949983,0.0
NongBuaLamPhu,157,0.12431824876434484,0.12060288339853287,0.15907148718833924,0.0
LopBuri,201,0.1220894600658571,0.11928967386484146,0.1743941456079483,0.0
NakhonSawan,331,0.12053734823791282,0.11496886610984802,0.16406957805156708,0.0
Chaiyaphum,378,0.11796398876757218,0.11348222196102142,0.16071985214948653,0.0
SuphanBuri,218,0.11628415616690566,0.09928260743618011,0.19639380425214772,0.0
ChiangMai,841,0.11590648404855224,0.11230650544166565,0.1537616103887558,0.0
Ranong,108,0.11411379036252145,0.10169526934623718,0.15867427736520767,0.0
AngThong,44,0.11261516877196052,0.10571014508605003,0.14954468756914144,0.0
Phuket,24,0.11175295012071729,0.0827079676091671,0.18726172894239426,0.0
Lampang,418,0.10567441940058077,0.10238231718540192,0.13590801358222962,0.0
Trang,224,0.1054843689115452,0.10358395799994469,0.12812267243862152,0.0
SuratThani,421,0.10543972283000051,0.10007955133914948,0.13409017026424408,0.0
Sukhothai,269,0.10486954215180032,0.10064834356307983,0.13353518545627596,0.0
NakhonSiThammarat,445,0.0992279982843091,0.10096606612205505,0.1411313593387604,0.0
Songkhla,323,0.09707547938768339,0.0970909595489502,0.12520407736301423,0.0
Phangnga,176,0.09628587279638107,0.0956370122730732,0.11351287737488747,0.0
Yala,132,0.09469613153487444,0.09682952240109444,0.11578119471669197,0.0
Lamphun,179,0.09380212409536266,0.0839538648724556,0.141637858748436,0.0
ChaiNat,96,0.09014604108718534,0.07669205963611603,0.1458262875676155,0.0
Krabi,198,0.08698747101983037,0.08177588135004044,0.11302445828914642,0.0
Satun,126,0.0869300730289921,0.08804917335510254,0.10302048549056053,0.0
Phatthalung,175,0.08144132456609181,0.07389749586582184,0.11982109695672986,0.0
Narathiwat,136,0.07871105097343817,0.07255805283784866,0.11447716876864433,0.0
Pattani,81,0.06836650019258629,0.06775026023387909,0.08625661581754684,0.0
