province,aquatic_cells,mean_relative_suitability,median_relative_suitability,p90_relative_suitability,fraction_cells_ge_0_5
SamutPrakan,45,0.7954662972026401,0.8200627565383911,0.868799877166748,1.0
BangkokMetropolis,77,0.7557283523794892,0.7904127836227417,0.8610994815826416,0.974025974025974
SamutSakhon,37,0.710229353324787,0.6955974698066711,0.815034031867981,1.0
SamutSongkhram,18,0.6618450184663137,0.655837893486023,0.7931069672107697,1.0
Nonthaburi,30,0.5470764468113581,0.5885684788227081,0.6982486724853516,0.6666666666666666
ChonBuri,195,0.4759099256533843,0.4823434054851532,0.6949049115180969,0.4717948717948718
PathumThani,75,0.4740255339940389,0.47056296467781067,0.6087115168571472,0.44
Rayong,150,0.43781571318705875,0.4129021018743515,0.6408361494541168,0.32
Chachoengsao,206,0.37205100117377865,0.3407275825738907,0.6040416061878204,0.1796116504854369
NakhonPathom,104,0.2760629884612102,0.25025347620248795,0.4833661884069443,0.057692307692307696
NakhonNayok,93,0.26776270287972626,0.30574044585227966,0.3560897171497345,0.0
Phetchaburi,200,0.26663510374724864,0.1700187772512436,0.5974950313568115,0.19
Chanthaburi,177,0.26164132794417905,0.25318196415901184,0.35284929871559145,0.0
PrachinBuri,157,0.2605549623821951,0.26767414808273315,0.35925822257995604,0.0
PrachuapKhiriKhan,247,0.23909094615986473,0.1767493039369583,0.5014568328857422,0.10526315789473684
