algo,feat_set,pa_method,rep,fold,k_effective,auc_roc,pr_auc,tss,tss_thr,thr_source,sensitivity,specificity,brier,cal_slope,cal_int,n_pres,n_bg,n_feat_vif,selected,pa_ratio,n_pa_actual,n_pres_tr,n_pres_dropped,n_eval_bg,inner_threshold,hp_str
RF,M_SAP,uncertainty_zone,1,1,3,0.904423076923077,0.1798719838873711,0.7305769230038983,0.1369,inner_oof,0.9231,0.8075,0.0352459924132222,1.1703,-1.0169,13,400,9,"bio04,bio10,bio15,bio17,A1_dist_waterway,A2_waterway_order,P1_pop_density,P3_road_density,P4_dist_urban",1:10,250,25,0,400,0.1369,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""max_features"": 0.5, ""max_depth"": 10}"
RF,M_SAP,uncertainty_zone,1,2,3,0.8997115384615385,0.3222666382383179,0.4759615384177746,0.3808,inner_oof,0.5385,0.9375,0.0661323647471818,2.2165,-1.3836,13,400,10,"bio07,bio10,bio12,bio15,bio17,elevation,A2_waterway_order,P1_pop_density,P3_road_density,P4_dist_urban",1:5,125,25,0,400,0.3808,"{""n_estimators"": 200, ""min_samples_leaf"": 5, ""max_features"": 0.5, ""max_depth"": null}"
RF,M_SAP,uncertainty_zone,1,3,3,0.9835416666666666,0.9101731601731602,0.7991666665880715,0.3837,inner_oof,0.9167,0.8825,0.0907604058462619,5.4021,-2.7945,12,400,11,"bio04,bio07,bio11,bio12,bio15,bio17,elevation,A2_waterway_order,P1_pop_density,P3_road_density,P4_dist_urban",1:5,130,26,0,400,0.3837,"{""n_estimators"": 200, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 5}"
RF,M_SAP,uncertainty_zone,2,1,3,0.9130769230769232,0.4922962007427203,0.6336538460867887,0.3632,inner_oof,0.8462,0.7875,0.0896025240487024,3.1849,-2.0642,13,400,8,"bio04,bio10,bio15,bio16,A2_waterway_order,P1_pop_density,P3_road_density,P4_dist_urban",1:3,75,25,0,400,0.3632,"{""n_estimators"": 300, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 10}"
RF,M_SAP,uncertainty_zone,2,2,3,0.9779807692307692,0.5432406754804766,0.875576923003536,0.2516,inner_oof,0.9231,0.9525,0.023061253084463,3.2203,1.8068,13,400,10,"bio04,bio10,bio12,bio15,bio17,elevation,A1_dist_waterway,A2_waterway_order,P1_pop_density,P3_road_density",1:10,250,25,0,400,0.2516,"{""n_estimators"": 100, ""min_samples_leaf"": 10, ""max_features"": ""sqrt"", ""max_depth"": 20}"
RF,M_SAP,uncertainty_zone,2,3,3,0.8616666666666667,0.7537763891359783,0.6666666666086112,0.46,inner_oof,0.6667,1.0,0.0521294902912621,3.8467,-0.0825,12,400,10,"bio07,bio10,bio12,bio15,bio17,A1_dist_waterway,A2_waterway_order,P1_pop_density,P3_road_density,P4_dist_urban",1:5,130,26,0,400,0.46,"{""n_estimators"": 100, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 10}"
RF,M_SAP,uncertainty_zone,3,1,3,0.8316346153846155,0.1782579274726877,-2.500000206850928e-12,0.8934,inner_oof,0.0,1.0,0.0636257861353637,1.3447,-1.8692,13,400,8,"bio04,bio10,bio15,bio16,A2_waterway_order,P1_pop_density,P3_road_density,P4_dist_urban",1:5,125,25,0,400,0.8934,"{""n_estimators"": 200, ""min_samples_leaf"": 5, ""max_features"": 0.7, ""max_depth"": 10}"
RF,M_SAP,uncertainty_zone,3,2,3,0.9370192307692308,0.2527870114335149,0.7480769230038546,0.5116,inner_oof,0.9231,0.825,0.1379295534607651,2.0422,-3.1772,13,400,10,"bio07,bio10,bio12,bio15,bio17,elevation,A1_dist_waterway,A2_waterway_order,P1_pop_density,P3_road_density",1:1,25,25,0,400,0.5116,"{""n_estimators"": 300, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 20}"
RF,M_SAP,uncertainty_zone,3,3,3,0.8212499999999999,0.2076589465482593,0.0758333333239076,0.5011,inner_oof,0.0833,0.9925,0.0578582358319069,2.0912,-1.2342,12,400,9,"bio07,bio10,bio12,bio15,bio17,A1_dist_waterway,A2_waterway_order,P1_pop_density,P3_road_density",1:3,78,26,0,400,0.5011,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": null}"
RF,M_SAP,uncertainty_zone,4,1,3,0.8175,0.1382896907783601,0.037499999922983,0.0913,inner_oof,1.0,0.0375,0.139839827692821,1.1994,-3.0147,13,400,9,"bio07,bio10,bio15,bio17,A1_dist_waterway,A2_waterway_order,P1_pop_density,P3_road_density,P4_dist_urban",1:10,250,25,0,400,0.0913,"{""n_estimators"": 200, ""min_samples_leaf"": 10, ""max_features"": 0.7, ""max_depth"": 5}"
